Year,Month,Date,Temp_Max,Temp_Avg,Temp_Min,Dew_Max,Dew_Avg,Dew_Min,Humid_Max,Humid_Avg,Humid_Min,Wind_Max,Wind_Avg,Wind_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_Total
2019,Jan,1,83,63.5,49,48,43.6,36,90,57,18,1,0.3,0,28.3,28.2,28.1,0
2019,Jan,2,87,65.4,49,52,45,38,87,55.8,18,2,0.3,0,28.3,28.2,28.1,0
2019,Jan,3,88,66.4,50,49,45.6,34,90,56.9,15,2,0.3,0,28.3,28.2,28.1,0
2019,Jan,4,86,66.8,51,52,47.4,41,87,57.1,20,2,0.3,0,28.3,28.2,28.1,0
2019,Jan,5,87,67.5,51,57,50.4,44,88,60,22,1,0.1,0,28.2,28.1,28.1,0
2019,Jan,6,86,66.9,53,53,48.4,44,93,58.4,25,1,0.3,0,28.1,28.1,28,0
2019,Jan,7,80,63.9,50,53,48.9,43,95,63.4,32,3,0.6,0,28.2,28.1,28.1,0
2019,Jan,8,85,64.5,50,50,47,41,91,60.5,21,2,0.3,0,28.2,28.1,28.1,0
2019,Jan,9,86,65.6,49,50,47,41,92,59.4,20,1,0.3,0,28.2,28.1,28,0
2019,Jan,10,85,66,51,52,48.5,44,95,60.4,24,3,0.5,0,28.1,28.1,28,0
2019,Jan,11,86,67.3,52,53,51.3,49,90,62.3,31,2,0.4,0,28.1,28.1,28,0
2019,Jan,12,89,68.1,53,53,49.1,42,91,58.6,19,3,0.6,0,28.1,28.1,28,0
2019,Jan,13,87,67.8,52,57,51.1,48,86,60.5,26,0,0,0,28.2,28.1,28.1,0
2019,Jan,14,82,67,54,56,53.3,51,91,65.8,37,2,0.5,0,28.2,28.1,28,0
2019,Jan,15,84,67.8,56,55,53.9,52,91,65.9,34,2,0.5,0,28.2,28.1,28.1,0
2019,Jan,16,85,68.4,55,56,54,51,92,65.4,32,3,0.6,0,28.2,28.1,28.1,0
2019,Jan,17,87,69.4,55,56,53.9,51,91,63.4,29,1,0.1,0,28.1,28.1,28,0
